Name,Grade,Class,Brood,Belong,Level,Hp,HpUp,Def,DefUp,Atk,AtkAdd,AtkSpeed,AtkSpeedUp,MoveSpeed,AtkRange1,AtkRange2,CognitiveRange,UpgradeCost,BuyCost,CellCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,1,10,0.7,0,0,2,0.75,1,0.01,1,2.5,1,5,30,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,2,10.7,0.7,0,0,2.75,0.75,1.01,0.01,1,2.5,1,5,36,54,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??,,,?�래??,종족,,,진영,,,체력,,,,방어??,,공격??(?�량),,공격?�도,,,,,,?�거�?
Sophia,Epic,Rescue,Dragon,SkyHawk,3,11.4,0.7,0,0,3.5,0.75,1.02,0.01,1,2.5,1,5,42,90,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,??,,?�간,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,4,12.1,0.7,0,0,4.25,0.75,1.03,0.01,1,2.5,1,5,48,132,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,근딜,,,?�간,,,?�것??,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,5,12.8,0.7,0,0,5,0.75,1.04,0.01,1,2.5,1,5,54,180,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,?�딜,,,?�간,,,?�요?�음,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,6,13.5,0.7,0,0,5.75,0.75,1.05,0.01,1,2.5,1,5,60,234,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,??,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,7,14.2,2.8,0,1,6.5,3,1.06,0.04,1,2.5,1,5,120,294,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,8,17,1.4,1,0,9.5,1.5,1.1,0.02,1,3,1,5,140,414,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,9,18.4,1.4,1,0,11,1.5,1.12,0.02,1,3,1,5,160,554,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,10,19.8,1.4,1,0,12.5,1.5,1.14,0.02,1,3,1,5,180,714,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,11,21.2,1.4,1,0,14,1.5,1.16,0.02,1,3,1,5,200,894,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,12,22.6,1.4,1,0,15.5,1.5,1.18,0.02,1,3,1,5,220,1094,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,13,24,1.4,1,0,17,1.5,1.2,0.02,1,3,1,5,240,1314,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,14,25.4,5.6,1,1,18.5,6,1.22,0.08,1,3,1,5,480,1554,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Epic,Rescue,Dragon,SkyHawk,15,26.8,0,2,0,24.5,0,1.3,0,1,3.5,1,5,999,2034,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
